,Name
1952004,Lachnospiraceae bacterium UBA2882
1952145,Lachnospiraceae bacterium UBA7164
1952144,Lachnospiraceae bacterium UBA7160
1951989,Lachnospiraceae bacterium UBA1818
1952150,Lachnospiraceae bacterium UBA7182
1952134,Lachnospiraceae bacterium UBA7096
1952171,Lachnospiraceae bacterium UBA7589
1952114,Lachnospiraceae bacterium UBA6452
1410633,Lachnospiraceae bacterium YSB2008
397291,Lachnospiraceae bacterium A4
1408324,Lachnospiraceae bacterium MC2017
1952158,Lachnospiraceae bacterium UBA7225
1952136,Lachnospiraceae bacterium UBA7109
1520827,Lachnospiraceae bacterium XBB1006
1952097,Lachnospiraceae bacterium UBA4631
1410632,Lachnospiraceae bacterium V9D3004
1952139,Lachnospiraceae bacterium UBA7125
1952153,Lachnospiraceae bacterium UBA7199
1408319,Lachnospiraceae bacterium AB2028
1952127,Lachnospiraceae bacterium UBA7050
1952174,Lachnospiraceae bacterium UBA7729
1520820,Lachnospiraceae bacterium XBD2001
1408323,Lachnospiraceae bacterium MA2020
1520822,Lachnospiraceae bacterium C10
1952013,Lachnospiraceae bacterium UBA2906
1952155,Lachnospiraceae bacterium UBA7205
1952096,Lachnospiraceae bacterium UBA4630
1952054,Lachnospiraceae bacterium UBA3772
658083,Lachnospiraceae bacterium 6_1_63FAA
877406,Lachnospiraceae bacterium NK3A20
1952130,Lachnospiraceae bacterium UBA7060
1792306,Lachnospiraceae bacterium C7
1410624,Lachnospiraceae bacterium FE2018
1952079,Lachnospiraceae bacterium UBA4260
1951985,Lachnospiraceae bacterium UBA1759
1952128,Lachnospiraceae bacterium UBA7054
1952125,Lachnospiraceae bacterium UBA7027
1952120,Lachnospiraceae bacterium UBA7012
1392493,Lachnospiraceae bacterium AC2031
1458462,Lachnospiraceae bacterium AC2029
1520828,Lachnospiraceae bacterium YSD2013
1951983,Lachnospiraceae bacterium UBA1753
1952063,Lachnospiraceae bacterium UBA3820
1952107,Lachnospiraceae bacterium UBA5902
1951987,Lachnospiraceae bacterium UBA1766
1952141,Lachnospiraceae bacterium UBA7143
1952019,Lachnospiraceae bacterium UBA2942
1952131,Lachnospiraceae bacterium UBA7076
1952000,Lachnospiraceae bacterium UBA2856
1952088,Lachnospiraceae bacterium UBA4348
1952029,Lachnospiraceae bacterium UBA3310
1952032,Lachnospiraceae bacterium UBA3386
1951978,Lachnospiraceae bacterium UBA1712
1952154,Lachnospiraceae bacterium UBA7202
1952152,Lachnospiraceae bacterium UBA7196
1951980,Lachnospiraceae bacterium UBA1721
1951997,Lachnospiraceae bacterium UBA2825
1952002,Lachnospiraceae bacterium UBA2864
1952023,Lachnospiraceae bacterium UBA3282
1952022,Lachnospiraceae bacterium UBA3273
1952045,Lachnospiraceae bacterium UBA3687
1952123,Lachnospiraceae bacterium UBA7023
1952067,Lachnospiraceae bacterium UBA3845
877421,Lachnospiraceae bacterium NK4A144
1930016,Lachnospiraceae bacterium Zagget3
1952046,Lachnospiraceae bacterium UBA3689
1952160,Lachnospiraceae bacterium UBA7257
712976,Lachnospiraceae bacterium oral taxon 082
1951973,Lachnospiraceae bacterium UBA1251
1200721,Lachnospiraceae bacterium RM5
1952026,Lachnospiraceae bacterium UBA3287
1952137,Lachnospiraceae bacterium UBA7110
712991,Lachnospiraceae bacterium oral taxon 500
1952001,Lachnospiraceae bacterium UBA2860
1952151,Lachnospiraceae bacterium UBA7188
1952094,Lachnospiraceae bacterium UBA4380
1952085,Lachnospiraceae bacterium UBA4317
1952071,Lachnospiraceae bacterium UBA3863
1952033,Lachnospiraceae bacterium UBA3401
1410626,Lachnospiraceae bacterium NC2004
1200747,Lachnospiraceae bacterium G11
1952118,Lachnospiraceae bacterium UBA6987
1952184,Lachnospiraceae bacterium UBA7766
1951970,Lachnospiraceae bacterium UBA1066
1408322,Lachnospiraceae bacterium AC3007
1951986,Lachnospiraceae bacterium UBA1760
1410631,Lachnospiraceae bacterium P6B14
1952040,Lachnospiraceae bacterium UBA3643
1410625,Lachnospiraceae bacterium MD2004
1952186,Lachnospiraceae bacterium UBA7777
1952083,Lachnospiraceae bacterium UBA4292
1952106,Lachnospiraceae bacterium UBA5899
1952051,Lachnospiraceae bacterium UBA3732
1952062,Lachnospiraceae bacterium UBA3814
1952058,Lachnospiraceae bacterium UBA3795
1951974,Lachnospiraceae bacterium UBA1258
1952036,Lachnospiraceae bacterium UBA3632
1952015,Lachnospiraceae bacterium UBA2912
1951984,Lachnospiraceae bacterium UBA1755
1165092,Lachnospiraceae bacterium JC7
1855374,Lachnospiraceae bacterium KH1T2
1520823,Lachnospiraceae bacterium NE2001
1520825,Lachnospiraceae bacterium XPB1003
1952168,Lachnospiraceae bacterium UBA7480
1951972,Lachnospiraceae bacterium UBA1201
1952060,Lachnospiraceae bacterium UBA3802
1951981,Lachnospiraceae bacterium UBA1729
1951992,Lachnospiraceae bacterium UBA2734
1952007,Lachnospiraceae bacterium UBA2887
1952119,Lachnospiraceae bacterium UBA6998
1952113,Lachnospiraceae bacterium UBA645
1410621,Lachnospiraceae bacterium AD3010
1408321,Lachnospiraceae bacterium AC2028
1952069,Lachnospiraceae bacterium UBA3850
1952090,Lachnospiraceae bacterium UBA4364
1952189,Lachnospiraceae bacterium UBA7784
1952044,Lachnospiraceae bacterium UBA3682
1952124,Lachnospiraceae bacterium UBA7026
1410622,Lachnospiraceae bacterium C6A11
1200749,Lachnospiraceae bacterium G41
1952027,Lachnospiraceae bacterium UBA3302
1952191,Lachnospiraceae bacterium UBA938
1952102,Lachnospiraceae bacterium UBA5131
1952169,Lachnospiraceae bacterium UBA7481
877420,Lachnospiraceae bacterium NK4A136
1952039,Lachnospiraceae bacterium UBA3641
1951979,Lachnospiraceae bacterium UBA1718
1410630,Lachnospiraceae bacterium P6A3
1952038,Lachnospiraceae bacterium UBA3638
1951998,Lachnospiraceae bacterium UBA2826
877424,Lachnospiraceae bacterium NK4A179
1952070,Lachnospiraceae bacterium UBA3861
1952179,Lachnospiraceae bacterium UBA7749
1951982,Lachnospiraceae bacterium UBA1748
1410627,Lachnospiraceae bacterium NC2008
1952190,Lachnospiraceae bacterium UBA935
1952108,Lachnospiraceae bacterium UBA629
1952115,Lachnospiraceae bacterium UBA6453
1952012,Lachnospiraceae bacterium UBA2904
1520826,Lachnospiraceae bacterium XBB2008
1952028,Lachnospiraceae bacterium UBA3305
1952078,Lachnospiraceae bacterium UBA4239
1952093,Lachnospiraceae bacterium UBA4378
1951991,Lachnospiraceae bacterium UBA2731
1952047,Lachnospiraceae bacterium UBA3692
1952052,Lachnospiraceae bacterium UBA3762
1952103,Lachnospiraceae bacterium UBA5452
1952073,Lachnospiraceae bacterium UBA3866
1952048,Lachnospiraceae bacterium UBA3701
1952014,Lachnospiraceae bacterium UBA2911
1952111,Lachnospiraceae bacterium UBA6419
1952065,Lachnospiraceae bacterium UBA3826
1952049,Lachnospiraceae bacterium UBA3711
1952149,Lachnospiraceae bacterium UBA7179
1952008,Lachnospiraceae bacterium UBA2888
1951988,Lachnospiraceae bacterium UBA1778
1392494,Lachnospiraceae bacterium AC2012
1952003,Lachnospiraceae bacterium UBA2868
1952121,Lachnospiraceae bacterium UBA7015
1952010,Lachnospiraceae bacterium UBA2896
1952055,Lachnospiraceae bacterium UBA3774
1952084,Lachnospiraceae bacterium UBA4316
1952016,Lachnospiraceae bacterium UBA2932
1952101,Lachnospiraceae bacterium UBA4957
1952100,Lachnospiraceae bacterium UBA4920
1952037,Lachnospiraceae bacterium UBA3633
1958817,Lachnospiraceae bacterium Phil5
1952057,Lachnospiraceae bacterium UBA3785
410072,Coprococcus comes
116085,Coprococcus catus
33043,Coprococcus eutactus
458253,uncultured Coprococcus sp.
1263071,Coprococcus eutactus CAG:665
1262863,Coprococcus sp. CAG:782
1078091,Coprococcus sp. HPP0048
649756,Anaerostipes hadrus
1261637,Anaerostipes sp. 992a
1261636,Anaerostipes sp. 494a
105841,Anaerostipes caccae
360807,Roseburia inulinivorans
166486,Roseburia intestinalis
512314,uncultured Roseburia sp.
1262948,Roseburia sp. CAG:471
1262944,Roseburia sp. CAG:303
1262942,Roseburia sp. CAG:182
1262943,Roseburia sp. CAG:197
1262946,Roseburia sp. CAG:380
1262945,Roseburia sp. CAG:309
301302,Roseburia faecis
1897016,Roseburia sp. CAG:10041_57
301301,Roseburia hominis
1261634,Roseburia sp. 499
1261635,Roseburia sp. 831b
208479,[Clostridium] bolteae
84030,[Clostridium] saccharolyticum
1531,[Clostridium] clostridioforme
1512,[Clostridium] symbiosum
1834196,Lachnoclostridium sp. YL32
342942,[Clostridium] glycyrrhizinilyticum
1926283,Lachnoclostridium edouardi
29347,[Clostridium] scindens
1965583,Lachnoclostridium sp. An196
1965562,Lachnoclostridium sp. An14
460384,[Clostridium] lavalense
1871021,Lachnoclostridium phocaeense
1965627,Lachnoclostridium sp. An298
1946696,Lachnoclostridium sp. UBA6475
358743,[Clostridium] citroniae
1965654,Lachnoclostridium sp. An76
1965560,Lachnoclostridium sp. An138
1965569,Lachnoclostridium sp. An169
1946707,Lachnoclostridium sp. UBA739
1946695,Lachnoclostridium sp. UBA5890
1946687,Lachnoclostridium sp. UBA2905
1526,[Clostridium] aminophilum
253257,[Clostridium] amygdalinum
37658,[Clostridium] populeti
1965555,Lachnoclostridium sp. An131
1965547,Lachnoclostridium sp. An118
1965575,Lachnoclostridium sp. An181
89153,[Clostridium] hylemonae
66219,Lachnoclostridium phytofermentans
1946690,Lachnoclostridium sp. UBA3320
1946689,Lachnoclostridium sp. UBA3262
29364,[Clostridium] polysaccharolyticum
1946694,Lachnoclostridium sp. UBA5725
1946705,Lachnoclostridium sp. UBA7215
1946699,Lachnoclostridium sp. UBA7097
29354,[Clostridium] celerecrescens
1946709,Lachnoclostridium sp. UBA903
99656,[Clostridium] fimetarium
1946682,Lachnoclostridium sp. UBA1175
1946684,Lachnoclostridium sp. UBA1308
1946701,Lachnoclostridium sp. UBA7122
81424,[Clostridium] methoxybenzovorans
1946683,Lachnoclostridium sp. UBA1241
1946710,Lachnoclostridium sp. UBA933
1946697,Lachnoclostridium sp. UBA6558
29370,[Clostridium] sphenoides
36832,[Clostridium] aerotolerans
1946686,Lachnoclostridium sp. UBA1781
69825,[Clostridium] indolis
1946706,Lachnoclostridium sp. UBA7290
1946691,Lachnoclostridium sp. UBA3775
58134,[Desulfotomaculum] guttoideum
1946693,Lachnoclostridium sp. UBA5132
1870993,Tyzzerella sp. Marseille-P3062
29361,Tyzzerella nexilis
1965545,Tyzzerella sp. An114
1947765,Tyzzerella sp. UBA1042
446043,uncultured Lachnospira sp.
28052,Lachnospira pectinoschiza
1946725,Lachnospira sp. UBA5912
1946712,Lachnospira sp. UBA2821
1946726,Lachnospira sp. UBA7007
28051,Lachnospira multipara
1946711,Lachnospira sp. UBA2803
1946720,Lachnospira sp. UBA4285
1946713,Lachnospira sp. UBA3212
1946717,Lachnospira sp. UBA3790
1946716,Lachnospira sp. UBA3780
45851,Butyrivibrio crossotus
1262761,Butyrivibrio sp. CAG:318
1263062,Butyrivibrio crossotus CAG:259
43305,Butyrivibrio proteoclasticus
831,Butyrivibrio fibrisolvens
185008,Butyrivibrio hungatei
1520812,Butyrivibrio sp. YAB3001
1408304,Butyrivibrio sp. FCS014
1280672,Butyrivibrio sp. AC2005
1280686,Butyrivibrio sp. MC2013
1520808,Butyrivibrio sp. INlla14
1506994,Butyrivibrio sp. AE3004
1280679,Butyrivibrio sp. VCB2006
1280663,Butyrivibrio sp. AE2015
1280685,Butyrivibrio sp. NC3005
1408305,Butyrivibrio sp. LB2008
1280666,Butyrivibrio sp. AE3009
1410610,Butyrivibrio sp. NC2002
1408306,Butyrivibrio sp. MC2021
1280673,Butyrivibrio sp. AE3006
1280676,Butyrivibrio sp. WCD3002
1946147,Butyrivibrio sp. UBA3740
1855323,Butyrivibrio sp. M55
1280683,Butyrivibrio sp. NC2007
1280682,Butyrivibrio sp. XBB1001
1280681,Butyrivibrio sp. WCD2001
1280667,Butyrivibrio sp. VCB2001
1280664,Butyrivibrio sp. VCD2006
1280668,Butyrivibrio sp. XPD2006
1280680,Butyrivibrio sp. LC3010
1520806,Butyrivibrio sp. INlla18
1520811,Butyrivibrio sp. INlla21
1280670,Butyrivibrio sp. AD3002
1520809,Butyrivibrio sp. TB
1280665,Butyrivibrio sp. XPD2002
180311,Hespellia stercorisuis
467210,Lachnoanaerobaculum saburreum
936595,Lachnoanaerobaculum sp. OBRC5-5
936594,Lachnoanaerobaculum sp. ICM7
1947020,Oribacterium sp. UBA6992
652706,Oribacterium sp. oral taxon 078
1947015,Oribacterium sp. UBA2880
1501332,Oribacterium asaccharolyticum
1410612,Oribacterium sp. P6A1
1947017,Oribacterium sp. UBA4274
689781,Oribacterium sp. NK2B42
1501329,Oribacterium parvum
237576,Oribacterium sinus
1855342,Oribacterium sp. KHPX15
1947019,Oribacterium sp. UBA5894
1855343,Oribacterium sp. WCC10
1943579,Oribacterium sp. C9
712414,Oribacterium sp. oral taxon 108
1947016,Oribacterium sp. UBA3737
1947018,Oribacterium sp. UBA4289
168384,Marvinbryantia formatexigens
1469950,Robinsoniella sp. KNHs210
180332,Robinsoniella peoriensis
1653435,Merdimonas faecis
160404,Anaerotignum lactatifermentans
36847,Anaerotignum neopropionicum
28446,Anaerotignum propionicum
46206,Pseudobutyrivibrio ruminis
1520801,Pseudobutyrivibrio sp. ACV-2
1855344,Pseudobutyrivibrio sp. 49
1947296,Pseudobutyrivibrio sp. UBA1225
1798168,Pseudobutyrivibrio sp. NOR37
1798186,Pseudobutyrivibrio sp. OR37
185007,Pseudobutyrivibrio xylanivorans
1520802,Pseudobutyrivibrio sp. YE44
1410616,Pseudobutyrivibrio sp. MD2005
39482,Faecalicatena contorta
290055,Faecalicatena fissicatena
796942,Stomatobaculum longum
1720300,Mediterraneibacter massiliensis
43995,Johnsonella ignava
1745713,Bariatricus massiliensis
100134,Anaerocolumna xylanovorans
259063,Anaerocolumna jejuensis
1527,Anaerocolumna aminovalerica
1469948,Kineothrix alysoides
115544,Parasporobacterium paucivorans
1619234,Anaerobium acetethylicum
2382,Acetitomaculum ruminis
29360,Cellulosilyticum lentocellum
425254,Cellulosilyticum ruminicola
1892843,Cellulosilyticum sp. I15G10I2
1712665,Agathobacter ruminis
177972,Shuttleworthia satelles
936574,Shuttleworthia sp. MSX8B
1653434,Sellimonas intestinalis
264463,Anaerosporobacter mobilis
1763509,Lachnotalea glycerini
140626,Lachnobacterium bovis
1432052,Eisenbergiella tayi
43997,Catonella morbi
1658108,Niameybacter massiliensis
1679721,Herbinix luporum
853,Faecalibacterium prausnitzii
1262898,Faecalibacterium sp. CAG:82
259315,uncultured Faecalibacterium sp.
1262897,Faecalibacterium sp. CAG:74
1262896,Faecalibacterium sp. CAG:1138
1946503,Faecalibacterium sp. UBA1360
1965551,Faecalibacterium sp. An122
1965550,Faecalibacterium sp. An121
1946510,Faecalibacterium sp. UBA7177
1946507,Faecalibacterium sp. UBA1819
1946505,Faecalibacterium sp. UBA1762
1946506,Faecalibacterium sp. UBA1771
165186,uncultured Ruminococcus sp.
1262953,Ruminococcus sp. CAG:254
1262963,Ruminococcus sp. CAG:579
1262958,Ruminococcus sp. CAG:403
1262952,Ruminococcus sp. CAG:177
1262966,Ruminococcus sp. CAG:724
1262954,Ruminococcus sp. CAG:330
1262957,Ruminococcus sp. CAG:382
1262961,Ruminococcus sp. CAG:563
1262959,Ruminococcus sp. CAG:488
457412,Ruminococcus sp. 5_1_39BFAA
1095771,Ruminococcus sp. JC304
46228,Ruminococcus lactaris
1638786,Ruminococcus sp. UNK.MGS-30
40518,Ruminococcus bromii
1265,Ruminococcus flavefaciens
1160721,Ruminococcus bicirculans
1264,Ruminococcus albus
40519,Ruminococcus callidus
438033,Ruminococcus gauvreauii
1930000,Ruminococcus sp. Phil15
1410617,Ruminococcus sp. FC2018
1514668,Ruminococcus sp. HUN007
244362,Ruminococcus sp. YE71
1947433,Ruminococcus sp. UBA6407
1947423,Ruminococcus sp. UBA4275
1161942,Ruminococcus champanellensis
1947404,Ruminococcus sp. UBA1394
1947406,Ruminococcus sp. UBA1780
1947414,Ruminococcus sp. UBA3387
1947427,Ruminococcus sp. UBA4350
1947405,Ruminococcus sp. UBA1409
1947415,Ruminococcus sp. UBA3665
1947411,Ruminococcus sp. UBA3280
1947434,Ruminococcus sp. UBA7013
1947425,Ruminococcus sp. UBA4321
1929998,Ruminococcus sp. Phil11
1947403,Ruminococcus sp. UBA1366
1947429,Ruminococcus sp. UBA4385
1947422,Ruminococcus sp. UBA4240
1930004,Ruminococcus sp. Zagget11
1947442,Ruminococcus sp. UBA946
1947440,Ruminococcus sp. UBA7477
1947436,Ruminococcus sp. UBA7158
877411,Ruminococcus sp. NK3A76
1947424,Ruminococcus sp. UBA4310
1947421,Ruminococcus sp. UBA3855
1947419,Ruminococcus sp. UBA3800
1947418,Ruminococcus sp. UBA3767
745368,Gemmiger formicilis
1965639,Gemmiger sp. An50
1965549,Gemmiger sp. An120
1965582,Gemmiger sp. An194
1965662,Gemmiger sp. An87
1193534,uncultured Flavonifractor sp.
292800,Flavonifractor plautii
1965538,Flavonifractor sp. An100
1965629,Flavonifractor sp. An306
1965537,Flavonifractor sp. An10
1965666,Flavonifractor sp. An92
1965665,Flavonifractor sp. An91
1965660,Flavonifractor sp. An82
1965664,Flavonifractor sp. An9
1965544,Flavonifractor sp. An112
552398,Ruminococcaceae bacterium D16
1952411,Ruminococcaceae bacterium UBA6353
1952288,Ruminococcaceae bacterium UBA1691
1520815,Ruminococcaceae bacterium D5
1952324,Ruminococcaceae bacterium UBA3818
1952283,Ruminococcaceae bacterium UBA1417
1952312,Ruminococcaceae bacterium UBA3220
1952410,Ruminococcaceae bacterium UBA5905
1200751,Ruminococcaceae bacterium P7
1952297,Ruminococcaceae bacterium UBA1865
1952318,Ruminococcaceae bacterium UBA3451
1572656,Ruminococcaceae bacterium CPB6
1852383,Ruminococcaceae bacterium Marseille-P2935
1952280,Ruminococcaceae bacterium UBA1375
1952429,Ruminococcaceae bacterium UBA7075
1520819,Ruminococcaceae bacterium YRB3002
1952282,Ruminococcaceae bacterium UBA1405
1952355,Ruminococcaceae bacterium UBA4937
1952418,Ruminococcaceae bacterium UBA6439
1952304,Ruminococcaceae bacterium UBA2851
1952428,Ruminococcaceae bacterium UBA7067
1952412,Ruminococcaceae bacterium UBA6364
1952290,Ruminococcaceae bacterium UBA1734
1952422,Ruminococcaceae bacterium UBA6855
1952414,Ruminococcaceae bacterium UBA6413
1952329,Ruminococcaceae bacterium UBA4306
1952388,Ruminococcaceae bacterium UBA5396
1952302,Ruminococcaceae bacterium UBA2806
1952430,Ruminococcaceae bacterium UBA7080
1520817,Ruminococcaceae bacterium FB2012
1952359,Ruminococcaceae bacterium UBA4958
1952399,Ruminococcaceae bacterium UBA5450
1952275,Ruminococcaceae bacterium UBA1213
1952277,Ruminococcaceae bacterium UBA1236
1952409,Ruminococcaceae bacterium UBA5904
1952305,Ruminococcaceae bacterium UBA2854
1952320,Ruminococcaceae bacterium UBA3710
1952325,Ruminococcaceae bacterium UBA3903
1952421,Ruminococcaceae bacterium UBA6845
1952278,Ruminococcaceae bacterium UBA1244
1952279,Ruminococcaceae bacterium UBA1320
1952287,Ruminococcaceae bacterium UBA1448
1952295,Ruminococcaceae bacterium UBA1816
1952289,Ruminococcaceae bacterium UBA1730
1952408,Ruminococcaceae bacterium UBA5891
1952376,Ruminococcaceae bacterium UBA5295
1952436,Ruminococcaceae bacterium UBA7147
1952389,Ruminococcaceae bacterium UBA5397
1952338,Ruminococcaceae bacterium UBA4843
1952444,Ruminococcaceae bacterium UBA7217
1952449,Ruminococcaceae bacterium UBA945
1952433,Ruminococcaceae bacterium UBA7121
1952323,Ruminococcaceae bacterium UBA3812
1410638,Ruminococcaceae bacterium AB4001
1952285,Ruminococcaceae bacterium UBA1438
1952284,Ruminococcaceae bacterium UBA1425
1952321,Ruminococcaceae bacterium UBA3751
1952281,Ruminococcaceae bacterium UBA1404
1952300,Ruminococcaceae bacterium UBA2719
1952292,Ruminococcaceae bacterium UBA1767
1952319,Ruminococcaceae bacterium UBA3648
1952272,Ruminococcaceae bacterium UBA1081
1952379,Ruminococcaceae bacterium UBA5312
1952387,Ruminococcaceae bacterium UBA5391
1952391,Ruminococcaceae bacterium UBA5401
1952413,Ruminococcaceae bacterium UBA6392
1952420,Ruminococcaceae bacterium UBA6842
1952431,Ruminococcaceae bacterium UBA7101
1952310,Ruminococcaceae bacterium UBA2944
1952306,Ruminococcaceae bacterium UBA2857
1952435,Ruminococcaceae bacterium UBA7135
1952354,Ruminococcaceae bacterium UBA4936
1855400,Ruminococcaceae bacterium KH2T8
1952437,Ruminococcaceae bacterium UBA7161
1952345,Ruminococcaceae bacterium UBA4896
1952342,Ruminococcaceae bacterium UBA4871
1520816,Ruminococcaceae bacterium YAD3003
1952311,Ruminococcaceae bacterium UBA3215
1952447,Ruminococcaceae bacterium UBA794
1952317,Ruminococcaceae bacterium UBA3334
39492,[Eubacterium] siraeum
84026,[Clostridium] methylpentosum
1535,[Clostridium] leptum
1549,[Clostridium] sporosphaeroides
47246,[Clostridium] viride
29343,[Clostridium] cellulosi
214851,Subdoligranulum variabile
1262970,Subdoligranulum sp. CAG:314
169435,Anaerotruncus colihominis
905011,uncultured Anaerotruncus sp.
1262703,Anaerotruncus sp. CAG:390
1262700,Anaerotruncus sp. CAG:528
1235835,Anaerotruncus sp. G3(2012)
1720200,Anaerotruncus rubiinfantis
1673720,Anaerotruncus sp. AT3
1871015,Pseudoflavonifractor sp. Marseille-P3106
1965576,Pseudoflavonifractor sp. An184
106588,Pseudoflavonifractor capillosus
1965661,Pseudoflavonifractor sp. An85
1965572,Pseudoflavonifractor sp. An176
1550024,Ruthenibacterium lactatiformans
1965589,Drancourtella sp. An210
1965647,Drancourtella sp. An57
1871018,Angelakisella massiliensis
1965587,Anaeromassilibacillus sp. An200
1965604,Anaeromassilibacillus sp. An250
2041843,Anaeromassilibacillus sp. Marseille-P4683
1965570,Anaeromassilibacillus sp. An172
1673717,Anaeromassilibacillus senegalensis
290052,Acetivibrio ethanolgignens
1650663,Fournierella massiliensis
39484,Agathobaculum desmolans
1965588,Anaerofilum sp. An201
1720313,Bittarella massiliensis
1871035,Negativibacillus massiliensis
1841868,Provencibacterium massiliense
1776382,Neglecta timonensis
2014781,Neglecta sp. Marseille-P3890
1917873,Pygmaiobacter massiliensis
1796620,Acutalibacter muris
1841867,Phocea massiliensis
474960,Hydrogenoanaerobacterium saccharovorans
1987501,Massilimaliae timonensis
1852384,Massilimaliae massiliensis
44749,Sporobacter termitidis
1470354,Candidatus Soleaferrea massiliensis
1944642,Marasmitruncus massiliensis
258515,Acetanaerobacterium elongatum
100176,Papillibacter cinnamivorans
253239,Ethanoligenens harbinense
59620,uncultured Clostridium sp.
1262832,Clostridium sp. CAG:7
1262805,Clostridium sp. CAG:43
1262845,Clostridium sp. CAG:91
1262842,Clostridium sp. CAG:81
1262836,Clostridium sp. CAG:75
1262825,Clostridium sp. CAG:590
1262824,Clostridium sp. CAG:58
1262828,Clostridium sp. CAG:62
1262774,Clostridium sp. CAG:127
1262792,Clostridium sp. CAG:299
1262816,Clostridium sp. CAG:510
1262790,Clostridium sp. CAG:277
1262837,Clostridium sp. CAG:762
1262785,Clostridium sp. CAG:253
1262784,Clostridium sp. CAG:245
1262802,Clostridium sp. CAG:411
1262848,Clostridium sp. CAG:964
1262777,Clostridium sp. CAG:167
1262782,Clostridium sp. CAG:230
1262830,Clostridium sp. CAG:632
1262803,Clostridium sp. CAG:413
1262778,Clostridium sp. CAG:169
1262780,Clostridium sp. CAG:221
1262775,Clostridium sp. CAG:138
1262809,Clostridium sp. CAG:451
1263067,Clostridium hathewayi CAG:224
1262768,Clostridium sp. CAG:1000
1262779,Clostridium sp. CAG:217
1262787,Clostridium sp. CAG:265
1262770,Clostridium sp. CAG:1024
1262831,Clostridium sp. CAG:678
1262808,Clostridium sp. CAG:448
1262793,Clostridium sp. CAG:302
1262769,Clostridium sp. CAG:1013
1262841,Clostridium sp. CAG:798
1262820,Clostridium sp. CAG:567
1262800,Clostridium sp. CAG:356
1262840,Clostridium sp. CAG:793
1262783,Clostridium sp. CAG:242
1262834,Clostridium sp. CAG:715
1262827,Clostridium sp. CAG:609
1262822,Clostridium sp. CAG:571
1262818,Clostridium sp. CAG:533
1262795,Clostridium sp. CAG:307
1262810,Clostridium sp. CAG:452
1262789,Clostridium sp. CAG:273
1262838,Clostridium sp. CAG:768
1262788,Clostridium sp. CAG:269
1262847,Clostridium sp. CAG:921
1262823,Clostridium sp. CAG:575
1262815,Clostridium sp. CAG:508
1262819,Clostridium sp. CAG:557
411484,Clostridium sp. SS2/1
411489,Clostridium sp. L2-50
1776047,Clostridium sp. C105KSO15
1042156,Clostridium sp. SY8519
1720194,Clostridium sp. AT4
1650661,Clostridium phoceensis
1776045,Clostridium sp. C105KSO13
1226325,Clostridium sp. KLE 1755
1776383,Clostridium sp. SN20
97139,Clostridium sp. ASF502
1896986,Clostridium sp. CAG:245_30_32
1491,Clostridium botulinum
1896982,Clostridium sp. 29_15
1805471,Clostridium sp. Marseille-P2415
36834,Clostridium celatum
1882754,Clostridium sp. DSM 4029
1805477,Clostridium sp. Marseille-P299
1849176,Clostridium sp. W14A
1871020,Clostridium sp. Marseille-P3244
1946357,Clostridium sp. UBA3947
1095009,Clostridium sp. NkU-1
1896979,Clostridium sp. 27_14
29363,Clostridium paraputrificum
1501,Clostridium pasteurianum
556261,Clostridium sp. D5
